t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,pose_src,pose_n_used,pose_rms_px,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-04T15:08:25.055,52,ACQUIRE_VERIFY,ACQUIRE_VERIFY,216,4,1788502105007.544,132.662,timestamp_domain.system_time,4331718.000,109.000,1,4331718.000,4331750.000,32.000,32.000,4331750.000,32.000,1,1,pnp_visible_ransac,9,1.390,9.2890,-0.407180,4.493301,-5.1780
2026-09-04T15:08:25.176,53,ACQUIRE_VERIFY,ACQUIRE_VERIFY,219,3,1788502105108.074,100.531,timestamp_domain.system_time,4331843.000,125.000,1,4331843.000,4331875.000,32.000,32.000,4331875.000,32.000,1,1,pnp_visible_ransac,9,2.813,-13.5537,-0.288335,5.831408,-2.8307
2026-09-04T15:08:25.295,54,ACQUIRE_VERIFY,ACQUIRE_VERIFY,223,4,1788502105241.248,133.174,timestamp_domain.system_time,4331953.000,110.000,1,4331953.000,4331984.000,31.000,31.000,4332000.000,47.000,1,1,pnp_visible_ransac,9,1.978,-4.0181,-0.342506,5.203092,-3.7662
2026-09-04T15:08:25.414,55,ACQUIRE_VERIFY,ACQUIRE_VERIFY,226,3,1788502105341.245,99.997,timestamp_domain.system_time,4332078.000,125.000,1,4332078.000,4332109.000,31.000,31.000,4332109.000,31.000,1,1,pnp_visible_ransac,9,1.392,9.5967,-0.418481,4.625193,-5.1700
2026-09-04T15:08:25.515,56,ACQUIRE_VERIFY,ACQUIRE_VERIFY,228,2,1788502105409.472,68.227,timestamp_domain.system_time,4332187.000,109.000,1,4332187.000,4332218.000,31.000,31.000,4332218.000,31.000,1,1,pnp_visible_ransac,9,1.482,9.4132,-0.416380,4.624323,-5.1451
2026-09-04T15:08:25.634,57,ACQUIRE_VERIFY,ACQUIRE_VERIFY,233,5,1788502105574.760,165.288,timestamp_domain.system_time,4332281.000,94.000,1,4332296.000,4332328.000,32.000,47.000,4332328.000,47.000,1,1,pnp_visible_ransac,8,4.397,-36.6639,-0.109907,6.748455,-0.9330
2026-09-04T15:08:25.756,58,ACQUIRE_VERIFY,ACQUIRE_VERIFY,237,4,1788502105708.372,133.612,timestamp_domain.system_time,4332421.000,140.000,1,4332421.000,4332453.000,32.000,32.000,4332453.000,32.000,1,1,pnp_visible_ransac,9,3.131,-13.7220,-0.282349,5.879488,-2.7494
2026-09-04T15:08:25.875,59,ACQUIRE_VERIFY,ACQUIRE_VERIFY,240,3,1788502105808.316,99.945,timestamp_domain.system_time,4332531.000,110.000,1,4332531.000,4332562.000,31.000,31.000,4332578.000,47.000,1,1,pnp_visible_ransac,9,4.416,-28.9536,-0.169307,6.412003,-1.5125
2026-09-04T15:08:25.984,60,ACQUIRE_VERIFY,ACQUIRE_VERIFY,244,4,1788502105941.778,133.462,timestamp_domain.system_time,4332640.000,109.000,1,4332656.000,4332687.000,31.000,47.000,4332687.000,47.000,1,1,pnp_visible_ransac,9,2.630,-10.0138,-0.305677,5.662654,-3.0899
2026-09-04T15:08:26.107,61,ACQUIRE_VERIFY,ACQUIRE_VERIFY,247,3,1788502106043.875,102.097,timestamp_domain.system_time,4332765.000,125.000,1,4332781.000,4332812.000,31.000,47.000,4332812.000,47.000,1,1,pnp_visible_ransac,9,3.964,-23.3986,-0.211814,6.295460,-1.9270
