t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-01T17:43:49.541,48,SEARCH_SWEEP,SEARCH_SWEEP,171,3,1788252229493.587,100.117,timestamp_domain.system_time,20977156.000,94.000,1,20977156.000,20977187.000,31.000,31.000,20977187.000,31.000,1,1,-3.1962,-0.162033,3.985056,-2.3284
2026-09-01T17:43:49.647,49,SEARCH_SWEEP,SEARCH_SWEEP,174,3,1788252229594.721,101.134,timestamp_domain.system_time,20977265.000,109.000,1,20977265.000,20977296.000,31.000,31.000,20977296.000,31.000,1,1,-1.9673,-0.163262,3.998734,-2.3380
2026-09-01T17:43:49.755,50,SEARCH_SWEEP,SEARCH_SWEEP,177,3,1788252229694.392,99.671,timestamp_domain.system_time,20977359.000,94.000,1,20977375.000,20977390.000,15.000,31.000,20977390.000,31.000,1,1,-1.7579,-0.162736,3.989616,-2.3358
2026-09-01T17:43:49.846,51,SEARCH_SWEEP,SEARCH_SWEEP,180,3,1788252229793.740,99.348,timestamp_domain.system_time,20977468.000,109.000,1,20977468.000,20977484.000,16.000,16.000,20977484.000,16.000,1,1,-2.3571,-0.161016,3.982389,-2.3153
2026-09-01T17:43:49.938,52,SEARCH_SWEEP,SEARCH_SWEEP,183,3,1788252229893.822,100.082,timestamp_domain.system_time,20977546.000,78.000,1,20977562.000,20977578.000,16.000,32.000,20977578.000,32.000,1,1,-1.6090,-0.163491,3.983586,-2.3502
2026-09-01T17:43:50.038,53,SEARCH_SWEEP,SEARCH_SWEEP,186,3,1788252229993.877,100.055,timestamp_domain.system_time,20977656.000,110.000,1,20977656.000,20977687.000,31.000,31.000,20977687.000,31.000,1,1,-2.8001,-0.161684,3.994232,-2.3180
2026-09-01T17:43:50.137,54,SEARCH_SWEEP,SEARCH_SWEEP,189,3,1788252230094.542,100.665,timestamp_domain.system_time,20977750.000,94.000,1,20977750.000,20977781.000,31.000,31.000,20977781.000,31.000,1,1,-3.3715,-0.160672,3.996724,-2.3021
2026-09-01T17:43:50.225,55,SEARCH_SWEEP,SEARCH_SWEEP,192,3,1788252230194.024,99.482,timestamp_domain.system_time,20977843.000,93.000,1,20977843.000,20977875.000,32.000,32.000,20977875.000,32.000,1,1,-2.9434,-0.161985,3.989741,-2.3249
2026-09-01T17:43:50.322,56,SEARCH_SWEEP,SEARCH_SWEEP,194,2,1788252230260.763,66.739,timestamp_domain.system_time,20977937.000,94.000,1,20977937.000,20977968.000,31.000,31.000,20977968.000,31.000,1,1,-2.9494,-0.162533,3.983832,-2.3363
2026-09-01T17:43:50.409,57,SEARCH_SWEEP,SEARCH_SWEEP,197,3,1788252230360.960,100.197,timestamp_domain.system_time,20978031.000,94.000,1,20978031.000,20978046.000,15.000,15.000,20978046.000,15.000,1,1,-3.0608,-0.161922,3.988138,-2.3250
