beta_deg,camera_z_m,category,clearance_m,cycles,elapsed_sec,final_camera_z_m,final_yaw_deg,forward_m,min_fov_deg,radius_m,reason,success,terminal,turn_deg,x_m,y_m
-5.0,-0.2279070839504601,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.08715574274765817,0.9961946980917455
-2.5,-0.22947652187002188,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.043619387365336,0.9990482215818578
0.0,-0.2300000000000001,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.0,1.0
2.5,-0.22947652187002188,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.043619387365336,0.9990482215818578
5.0,-0.2279070839504601,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.08715574274765817,0.9961946980917455
7.5,-0.22529467375559575,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.13052619222005157,0.9914448613738104
10.0,-0.22164426415671445,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.17364817766693033,0.984807753012208
12.5,-0.21696280391596345,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.21643961393810288,0.9762960071199334
15.0,-0.21125920445898771,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.25881904510252074,0.9659258262890683
17.5,-0.2045443229115249,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.3007057995042731,0.9537169507482269
20.0,-0.19683094143224977,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.3420201433256687,0.9396926207859084
22.5,-0.18813374288120777,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.3826834323650898,0.9238795325112867
25.0,-0.17846928287015762,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.42261826174069944,0.9063077870366499
27.5,-0.16785595824802202,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.4617486132350339,0.8870108331782217
30.0,-0.15631397208144138,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.49999999999999994,0.8660254037844387
32.5,-0.14386529519708724,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.5372996083468238,0.8433914458128857
35.0,-0.13053362435894555,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.573576436351046,0.8191520442889918
37.5,-0.11634433716017945,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.6087614290087207,0.7933533402912352
40.0,-0.10132444371543803,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.6427876096865393,0.766044443118978
42.5,-0.08550253524556839,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.6755902076156602,0.7372773368101241
45.0,-0.06890872965260131,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,0.7071067811865476,0.7071067811865476
-45.0,0.03109127034739878,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.7778174593052024,0.7778174593052024
-42.5,0.0144974647544317,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.7431492283772263,0.8110050704911366
-40.0,-0.0013244437154379396,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.7070663706551933,0.8426488874308758
-37.5,-0.016344337160179356,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.6696375719095927,0.8726886743203588
-35.0,-0.030533624358945466,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.6309340799861507,0.901067248717891
-32.5,-0.04386529519708715,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.5910295691815062,0.9277305903941744
-30.0,-0.05631397208144129,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.5499999999999999,0.9526279441628827
-27.5,-0.06785595824802193,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.5079234745585374,0.9757119164960439
-25.0,-0.07846928287015753,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.4648800879147694,0.996938565740315
-22.5,-0.08813374288120768,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.4209517756015988,1.0162674857624154
-20.0,-0.09683094143224968,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.37622215765823563,1.0336618828644994
-17.5,-0.10454432291152482,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.33077637945470045,1.0490886458230497
-15.0,-0.11125920445898763,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.2847009496127728,1.0625184089179753
-12.5,-0.11696280391596336,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.23808357533191318,1.0739256078319268
-10.0,-0.12164426415671437,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.19101299543362338,1.0832885283134288
